unique_code,make_slug,make_name,model_slug,model_name,year,trim_slug,trim_name,variant_slug,variant_name,vehicle_type,drivetrain,system_power_kw,system_torque_nm,battery_capacity_gross_kwh,battery_capacity_net_kwh,battery_chemistry,dc_max_power_kw,ac_max_power_kw,range_wltp_km,range_epa_km,acceleration_0_100_s,top_speed_kmh,charge_connectors,sources
lexus:rz_450e:2025:rz_450e,lexus,Lexus,rz_450e,RZ 450e,2025,base,Base,,,Suv,Awd,230,435,71.4,65.1,li-ion,150,6.6,470,220,5.3,160,Ccs1,https://www.lexus.com/models/RZ
lexus:rz_450e:2025:rz_450e_luxury,lexus,Lexus,rz_450e,RZ 450e,2025,luxury,Luxury,luxury,Luxury,Suv,Awd,230,435,71.4,65.1,li-ion,150,6.6,470,220,5.3,160,Ccs1,https://www.lexus.com/models/RZ
lexus:rz_450e:2025:rz_450e_premium,lexus,Lexus,rz_450e,RZ 450e,2025,premium,Premium,premium,Premium,Suv,Awd,230,435,71.4,65.1,li-ion,150,6.6,470,220,5.3,160,Ccs1,https://www.lexus.com/models/RZ
lexus:ux_300e:2023:ux_300e,lexus,Lexus,ux_300e,UX 300e,2023,base,Base,,,Suv,Fwd,150,300,54.3,50.3,li-ion,50,6.6,315,196,7.5,160,Ccs2,https://www.lexus.com/models/UX
lexus:ux_300e:2024:ux_300e,lexus,Lexus,ux_300e,UX 300e,2024,base,Base,,,Suv,Fwd,150,300,54.3,50.3,li-ion,50,6.6,315,196,7.5,160,Ccs2,https://www.lexus.com/models/UX
lexus:ux_300e:2025:ux_300e,lexus,Lexus,ux_300e,UX 300e,2025,base,Base,,,Suv,Fwd,150,300,54.3,50.3,li-ion,50,6.6,315,196,7.5,160,Ccs2,https://www.lexus.com/models/UX
lotus:eletre:2023:eletre,lotus,Lotus,eletre,Eletre,2023,base,Base,,,Suv,Awd,450,710,112,100,li-ion,350,22,600,,4.5,260,Ccs2,https://www.lotuscars.com/eletre
lotus:eletre:2023:eletre_r_plus,lotus,Lotus,eletre,Eletre,2023,r_plus,R+,r_plus,R+,Suv,Awd,675,985,112,100,li-ion,350,22,600,,2.95,265,Ccs2,https://www.lotuscars.com/eletre
lotus:eletre:2023:eletre_s,lotus,Lotus,eletre,Eletre,2023,s,S,s,S,Suv,Awd,450,710,112,100,li-ion,350,22,600,,4.5,260,Ccs2,https://www.lotuscars.com/eletre
lotus:eletre:2024:eletre,lotus,Lotus,eletre,Eletre,2024,base,Base,,,Suv,Awd,450,710,112,100,li-ion,350,22,600,,4.5,260,Ccs2,https://www.lotuscars.com/eletre
lotus:eletre:2024:eletre_r_plus,lotus,Lotus,eletre,Eletre,2024,r_plus,R+,r_plus,R+,Suv,Awd,675,985,112,100,li-ion,350,22,600,,2.95,265,Ccs2,https://www.lotuscars.com/eletre
lotus:eletre:2024:eletre_s,lotus,Lotus,eletre,Eletre,2024,s,S,s,S,Suv,Awd,450,710,112,100,li-ion,350,22,600,,4.5,260,Ccs2,https://www.lotuscars.com/eletre
lotus:eletre:2025:eletre,lotus,Lotus,eletre,Eletre,2025,base,Base,,,Suv,Awd,450,710,112,100,li-ion,350,22,600,,4.5,260,Ccs2,https://www.lotuscars.com/eletre
lotus:eletre:2025:eletre_r_plus,lotus,Lotus,eletre,Eletre,2025,r_plus,R+,r_plus,R+,Suv,Awd,675,985,112,100,li-ion,350,22,600,,2.95,265,Ccs2,https://www.lotuscars.com/eletre
lotus:eletre:2025:eletre_s,lotus,Lotus,eletre,Eletre,2025,s,S,s,S,Suv,Awd,450,710,112,100,li-ion,350,22,600,,4.5,260,Ccs2,https://www.lotuscars.com/eletre
lotus:emeya:2024:emeya,lotus,Lotus,emeya,Emeya,2024,base,Base,,,PassengerCar,Awd,675,985,102,102,li-ion,402,22,610,,2.8,250,Ccs2,https://www.lotuscars.com/emeya
lotus:emeya:2025:emeya,lotus,Lotus,emeya,Emeya,2025,base,Base,,,PassengerCar,Awd,675,985,102,102,li-ion,402,22,610,,2.8,250,Ccs2,https://www.lotuscars.com/emeya
lucid:air:2023:air,lucid,Lucid,air,Air,2023,pure,Pure,,,PassengerCar,Rwd,321,430,88,84,li-ion,300,19.2,,676,4.5,201,Ccs1,https://www.lucidmotors.com/air|https://www.fueleconomy.gov
